data;
set CIUDADES := 0 1 2 3 4 5 6 7 8 9 10 11 12 13;
set CIUDADES_SO := 1 2 3 4 5 6 7 8 9 10 11 12 13;

param N := 13; 
param M1 := 14; 
param M2 := 150; 
param M3 := 5;
param TEF := 7; 
param TD := 5; 
param VEL := 4000;
param K0 := 0;
param ARG := 2;
param BRA := 6;
param PER := 7;

param C: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 :=
0	0.00	1882.76	1902.92	2277.82	2938.89	3694.22	4094.55	4741.25	6048.67	6455.33	6325.87	6413.76	6512.26	6977.30
1	1882.76	0.00	203.69	1341.54	1070.24	1974.31	2274.62	3297.44	4497.95	4774.69	4444.34	4531.92	4638.95	5169.92
2	1902.92	203.69	0.00	1138.40	1038.83	1862.78	2341.92	3141.36	4363.31	4666.14	4447.13	4518.82	4609.80	5100.06
3	2277.82	1341.54	1138.40	0.00	1552.69	1693.29	3013.15	2471.21	3789.63	4253.32	4689.42	4672.96	4671.89	4908.78
4	2938.89	1070.24	1038.83	1552.69	0.00	1050.35	1464.23	2516.18	3581.78	3774.24	3413.84	3480.11	3573.80	4108.26
5	3694.22	1974.31	1862.78	1693.29	1050.35	0.00	1875.12	1481.96	2544.95	2803.55	3020.47	2984.58	2979.02	3290.96
6	4094.55	2274.62	2341.92	3013.15	1464.23	1875.12	0.00	3169.20	3779.89	3667.78	2355.86	2538.75	2755.00	3593.55
7	4741.25	3297.44	3141.36	2471.21	2516.18	1481.96	3169.20	0.00	1324.95	1882.01	3323.17	3135.37	2960.01	2747.75
8	6048.67	4497.95	4363.31	3789.63	3581.78	2544.95	3779.89	1324.95	0.00	730.81	2968.08	2682.26	2392.85	1756.31
9	6455.33	4774.69	4666.14	4253.32	3774.24	2803.55	3667.78	1882.01	730.81	0.00	2412.97	2100.82	1780.03	1029.16
10	6325.87	4444.34	4447.13	4689.42	3413.84	3020.47	2355.86	3323.17	2968.08	2412.97	0.00	331.68	678.30	1719.56
11	6413.76	4531.92	4518.82	4672.96	3480.11	2984.58	2538.75	3135.37	2682.26	2100.82	331.68	0.00	346.63	1388.62
12	6512.26	4638.95	4609.80	4671.89	3573.80	2979.02	2755.00	2960.01	2392.85	1780.03	678.30	346.63	0.00	1043.71
13	6977.30	5169.92	5100.06	4908.78	4108.26	3290.96	3593.55	2747.75	1756.31	1029.16	1719.56	1388.62	1043.71	0.00
;

end;
